Column,Country
1,Afghanistan
2,Albania
3,Algeria
4,American Samoa
5,Andorra
6,Angola
7,Anguilla
8,Antarctica
9,Antigua & Barbuda
10,Antigua and Barbuda
11,Argentina
12,Armenia
13,Aruba
14,Australia
15,Austria
16,Azerbaijan
17,Bahamas
18,Bahrain
19,Bangladesh
20,Barbados
21,Belarus
22,Belgium
23,Belize
24,Benin
25,Bermuda
26,Bhutan
27,Bolivia
28,Bonaire
29,"Bonaire, Sint Eustatius and Saba"
30,Bosnia & Herzegovina
31,Bosnia and Herzegovina
32,Botswana
33,Brazil
34,British Virgin Islands
35,Brunei
36,Bulgaria
37,Burkina Faso
38,Burma
39,Burundi
40,Cambodia
41,Cameroon
42,Canada
43,Cape Verde
44,Caribbean Netherlands
45,Cayman Islands
46,Central African Republic
47,Chad
48,Channel Islands
49,Charo
50,Chefoo
51,Chile
52,China
53,Colombia
54,Comoros
55,Congo (Brazzaville)
56,Congo (Kinshasa)
57,Congo - Brazzaville
58,Congo - Kinshasa
59,Cook Islands
60,Costa Rica
61,Cote d'Ivoire
62,Croatia
63,Cuba
64,Curacao
65,Curaçao
66,Cura�ao
67,Cyprus
68,Czechia
69,Côte d’Ivoire
70,Denmark
71,Diamond
72,Djibouti
73,Dominica
74,Dominican Republic
75,Ecuador
76,Egypt
77,El Salvador
78,Equatorial Guinea
79,Eritrea
80,Estonia
81,Eswatini
82,Ethiopia
83,Falkland Islands
84,Faroe Islands
85,Fesco
86,Fiji
87,Finland
88,France
89,French Guiana
90,French Polynesia
91,Gabon
92,Gambia
93,Georgia
94,Germany
95,Ghana
96,Gibraltar
97,Greece
98,Greenland
99,Grenada
100,Guadeloupe
101,Guam
102,Guatemala
103,Guernsey
104,Guinea
105,Guinea-Bissau
106,Guyana
107,Haiti
108,Holy See
109,Honduras
110,Hungary
111,Iceland
112,India
113,Indonesia
114,International commercial vessel
115,International conveyance (Diamond Princess)
116,Iran
117,Iraq
118,Ireland
119,Isle of Man
120,Israel
121,Italy
122,Jamaica
123,Japan
124,Jersey
125,Jordan
126,Kazakhstan
127,Kenya
128,Kiribati
129,Kosovo
130,Kuwait
131,Kyrgyzstan
132,Laos
133,Latvia
134,Lebanon
135,Lesotho
136,Liberia
137,Libya
138,Liechtenstein
139,Lithuania
140,Luxembourg
141,Madagascar
142,Malawi
143,Malaysia
144,Maldives
145,Mali
146,Malta
147,Marshall Islands
148,Martinique
149,Mauritania
150,Mauritius
151,Mayotte
152,Mexico
153,Micronesia
154,Micronesia (Federated States of)
155,Moldova
156,Monaco
157,Mongolia
158,Montenegro
159,Montserrat
160,Morocco
161,Mozambique
162,Myanmar (Burma)
163,Namibia
164,Nauru
165,Nepal
166,Netherlands
167,New Caledonia
168,New Zealand
169,Nicaragua
170,Niger
171,Nigeria
172,Niue
173,North Korea
174,North Macedonia
175,Northern Mariana Islands
176,Norway
177,Oman
178,Pakistan
179,Palau
180,Palestinian Territories
181,Panama
182,Papua New Guinea
183,Paraguay
184,Peru
185,Philippines
186,Pitcairn Islands
187,Poland
188,Portugal
189,Puerto Rico
190,Qatar
191,Reunion
192,Romania
193,Russia
194,Rwanda
195,Réunion
196,R�union
197,Saba
198,Saint Barth�lemy
199,Saint Martin (French part)
200,Samoa
201,San Marino
202,Saudi Arabia
203,Senegal
204,Serbia
205,Seychelles
206,Sierra Leone
207,Singapore
208,Sint Eustatius
209,Sint Maarten
210,Slovakia
211,Slovenia
212,Solomon Islands
213,Somalia
214,South Africa
215,South Korea
216,South Sudan
217,Spain
218,Sri Lanka
219,St. Barthelemy
220,St. Barthélemy
221,St. Helena
222,St. Kitts & Nevis
223,St. Kitts and Nevis
224,St. Lucia
225,St. Martin (French part)
226,St. Pierre & Miquelon
227,St. Pierre and Miquelon
228,St. Vincent & Grenadines
229,St. Vincent and Grenadines
230,Sudan
231,Suriname
232,Sweden
233,Switzerland
234,Syria
235,São Tomé & Príncipe
236,São Tomé and Príncipe
237,Tajikistan
238,Tanzania
239,Thailand
240,Timor-Leste
241,Togo
242,Tokelau
243,Tonga
244,Trinidad & Tobago
245,Trinidad and Tobago
246,Tunisia
247,Turkey
248,Turkmenistan
249,Turks & Caicos Islands
250,Turks and Caicos Islands
251,Tuvalu
252,Türkiye
253,T�rkiye
254,U.S. Virgin Islands
255,Uganda
256,Ukraine
257,United Arab Emirates
258,United Kingdom
259,United States
260,Uruguay
261,Uzbekistan
262,Vanuatu
263,Vatican City
264,Venezuela
265,Vietnam
266,Wallis & Futuna
267,Wallis and Futuna
268,West Bank and Gaza
269,Yemen
270,Zambia
271,Zimbabwe
